,2036
a servant,6
Fred Roberts ,6
Mr. Byrd Goolsby,6
Miss Florence Moore,6
Weenie Wistaria,6
"of ""The Jolly Embalmers""",6
Ravioli,6
a boss barber,6
Corporal Oscar,6
Beth Summerville,6
"Rocky's college chum, who is taking a Postgraduate course in Feminology",6
Young cousin of the Queen,6
"one of Rocky's college chums, who is taking a Postgraduate course in Feminology",6
"a ""Little Fawn""",6
Edward Garvie,6
Lankton Wells,6
the college trainer,6
Gladys Feldman,6
his butler,6
Walter Regan,6
Keen Fitzpatrick,6
Doris Olsson,6
Helen Steele,6
"Waiter, Tourist, etc.",6
Smithsonian Sexette,6
Elise Hamilton,5
Himself,5
Soprano,5
Martha Dean,5
Pony Ballay,5
Marie Lauro,5
a guest,5
her daughter,5
"Billy ""Swede"" Hall",5
Silas,5
Henoria Peck,5
"Henry Peck's oldest daughter, brought up in the old fashioned way by her mother",5
Henrietta Peck,5
Henry's wife,5
Dr. I. Stall,5
Cranberry Cove's leading horse doctor,5
Henderson Peck,5
"Henry's son, who after a correspondence course at an engineering institute, is going to New York to solve the traffic problem",5
Verbena Peck,5
Henderson's newly wedded country bride,5
"Zowie, the Monarch of Mystery",5
"the third and last attraction of the season at the Cove's Temple of Amusement, Melodeon Hall",5
Pansy Marshmallow,5
Henolia Peck,5
"Henry's second daughter, brought up in the new fashioned way by her father, just home from Swellsley College",5
Ayer Castle,5
"a city real estate promoter, who has decided to turn Cranberry Cove into the summer metropolis of Briny Bluff",5
Henella Peck,5
"Henry's youngest daughter, who has run away to New York to bring herself up in the chorus under the name of Carmencita Tabasco",5
Montgomery Muggs,5
Major Manley,5
of the Salvation Army,5
Ermengarde,5
with the Lilliputian voice,5
Mlle. Twinkle Toes,5
one of the wedding dinner entertainers,5
Mr. Hilarion Ceballos,5
Miss Frances Ross,5
Mr. Lew Fields,5
Rufe,5
the village fiddler,5
Carl Copeland,5
Louisa Bartlett,5
Earl O. Schenck,5
Jane Millard,5
Martha Perkins,5
the gossip,5
James Galloway,5
member of The Village Choir,5
Mr. S. Nunziato,5
Martin DeLaney,5
a detective,5
Will J. Kennedy,5
Spaff Hyman,5
Anna Laughlin,5
Celia West,5
Louise Mink,5
Lethia Gray,5
Louise Burnett,5
Maisie Mannering,5
Lottie Lovedale,5
Capt. James Wynnegate,5
"his cousin, afterwards known as Jim Carston",5
George Schaeffer,5
Cowboy on Carston's ranch,5
Alice Wilson,5
Tim McMahon,5
Henry Thompson,5
Bill Fagan,5
Grace Barbour,5
Jane Wentworth,5
Amy Foster,5
Alison Skinner,5
Grace Buchanan,5
Belle of Hungary,5
Spring girl,5
Rev. Lewis Carroll,5
Vivian Tobin,5
Trombone,4
Jack  ,4
Pierre,4
the hotel detective,4
One of the Metropolitan Minstrels,4
Tenor,4
Paul Dietz,4
Christian Rub,4
Willy Frey,4
Hans Hansen,4
of the Royal Hussars,4
a maid,4
Gertrude Hoffmann,4
Bessie ,4
his child,4
Elise Hamilton ,4
Kathleen Neaves,4
Gladys,4
his sister,4
Jack,4
Lola Curtis,4
Ida Lenharr,4
Henry Bergman,4
American college students,4
Gladys Breston,4
Morris Bodington,4
Mabel Allen,4
Hugh Cameron,4
Harry Wilcox,4
Ethel Wheeler ,4
Mrs. Murgatoyd,4
"""Clarence's"" owner",4
Mr. Frank Whitman,4
Chorus Girl,4
A Dream,4
John Downer,4
Gertrude Meyer,4
Anna Moore,4
Squire Amasa Bartlett,4
David Bartlett,4
Ida Ellis,4
Kate Brewster,4
H. H. Forsman,4
Professor Sterling,4
their summer boarder,4
Frank Bell,4
Rube Whipple,4
the town constable,4
Seth Holcomb,4
George Wender,4
Dr. Wiggins,4
C. R. Middleton,4
Zeke,4
Cynthis,4
Miss A. Baroni,4
Mr. V. Navarrini,4
contralto,4
Mme. A. De Vien,4
Purnell B. Pratt,4
who assist Captain Josef,4
"Chloe's friend, who believes that the proper study of Womankind is Man",4
Arthur McWatters,4
Fred West,4
Grace Tyson,4
Helen West,4
Sallie Stembler,4
the cook,4
Albert Hart,4
Professor Ivory,4
Junie McCree,4
Lawrence McManus,4
Bobby Barry,4
Jack North,4
"""Athletic Girl""",4
Margaret Taylor,4
Gaston,4
Village child,4
of the crew,4
James Spottswood,4
Tuthill Leffingwell,4
a Freshman,4
James E. Sullivan,4
Nick Bulgler,4
Jean Morrell,4
Ethel Ethridge,4
Blanche Babbitt,4
Harriet Halford,4
Dorothy Landers,4
Nellie Northrup,4
Miss Hazel Allen,4
Miss Ethel Wheeler,4
a Nihilist,4
Receiving at Mrs. Vandeveer's,4
Irene,4
Willis Browne,4
Flower Girl,4
Indian,4
Julia Hoyt,4
Diana,4
"his wife, Countess of Kerhill",4
Elizabeth Bellairs,4
Lady Mabel Wynnegate,4
William Faversham,4
H. Cooper Cliffe,4
Malcolm Petrie,4
his solicitor,4
Bates ,4
Burr McIntosh,4
Big Bill,4
Riley Hatch,4
Tab-y-wana,4
peace chief of the Utes,4
Frank Martins,4
Clark,4
Curley Judge,4
Punk,4
a Chinaman,4
Harold Salter,4
Baco White,4
Member of The Jury,4
Mr. Louis Silvey,4
Sailor,4
Mrs. Charlotte Wade Daniels,4
Stenographer,4
Thomas F. Tracey,4
John W. Cannell,4
"Henry Miller, Jr.",4
Henry Tracey,4
Sidney Parker,4
Daisy Adamy,4
Mrs. John W. Cannell,4
Frederick Wallace,4
"""Chesty"" Sanborn",4
George Abbott,4
"""Babe Merrill""",4
Frank Sylvester,4
Boney,4
Henry Stockbridge,4
Stephen Weatherbee,4
Mr. Faraday's daughter,4
Herbert Ayling,4
a Model,4
A Mendicant,4
William Handel,4
Hossein,4
Blanche Bates,4
Frank Stirling,4
Bernice Golden,4
White Queen,4
his friend,3
Jules Unger,3
The Chauffeur,3
Rigoletto,3
Laura,3
Maude Leslie,3
Louis Praetorius,3
Selma Weber,3
Willy Wahl,3
Rudi Rahe,3
"vom Corps ""Sachsen""",3
Heinrich Marlow,3
Julia Carle,3
The Woman,3
the doctor,3
Marie,3
Guest at the Dinner,3
Harry M. Smith,3
Mabel Woodrow,3
Chas. Edwards,3
Jimmy Casson,3
Betty Bond,3
Fannie Morse,3
Jack Devreaux,3
The Man,3
Herbert Warren,3
Valerie Bergere,3
Effie Bordine,3
Michael ,3
Lillian Herlein,3
Genevieve Cliff,3
Berton Churchill,3
Julie,3
Hermine Shone,3
May Willard,3
Vera Olcott,3
Flora Russell,3
James F. Dolan,3
Jessie Busley,3
Gertie O'Connor,3
Mr. George W. Monroe,3
"Joseph Herbert, Jr.",3
Raymond Hitchcock,3
Jack Henderson,3
Lora Lieb,3
Eleanor Lawson,3
an artist,3
Margie Cogan,3
Charles Miller,3
Neinda Snow,3
Lillian Elliot,3
Ruth Hanson,3
Patrick Walsh,3
Mr. MacGregor,3
an aged farmer,3
Mr. Haggis,3
a shop-keeper,3
Sam Watson,3
Charles Mitchell,3
Charles King ,3
Joseph Kane,3
Irene Castle,3
Marjorie Blythe,3
Rosalie Ceballos,3
Henry Norman,3
another nurse,3
Joseph Allenton,3
Dennis Brothers,3
Nobody,3
Truth,3
Of Capt. Dinglebender's Command,3
Mr. Julius Schroeder,3
Mr. Harry Russell,3
Beatrice Capulet,3
Salina,3
the wife,3
Mr. Will Archie,3
Blanche Shirley,3
their niece,3
C. H. Carlton,3
Hi Holler,3
their chore boy,3
Sam,3
Jesse Thorn,3
Alice Evartson,3
Dorcas,3
M'liss Merrill,3
Priscilla,3
Elfrida Wagner,3
Mr. T. Kittay,3
Mr. G. De Carli,3
Mr. G. Mauro,3
Mme. A. Frery,3
James B. Carson,3
Shirley Burns,3
a lady sleuth from San Francisco,3
a stenographer,3
Lucille,3
a waiter,3
William Welp,3
McGinnis,3
Robert Hilliard,3
Louis La Bey,3
Arthur Shaw,3
"""Joe"" Manning",3
William Soames,3
"""Bob"" Vincent",3
Kayton's dictograph operator,3
William T. Clark,3
Daniel Colt,3
Andy   ,3
Detective,3
Carrie Beverly,3
Katheryn Beach,3
Ann,3
Chauncey Olcott,3
Charles Wellesly,3
Warren Fairchild,3
Robert V. Ferguson,3
Sandy McNabb,3
F. Gatenby Bell,3
Will Dorkins,3
Jennie Lamont,3
an art student,3
Edith Taliaferro,3
Hayward Ginn,3
Daniel Lawler,3
Edmund Farley,3
secretary to Sir Thomas,3
Marie Quinn,3
Kathleen Mulhall,3
Lou Ripley,3
Mrs. Bridget Muldoody,3
Lisle Bloodgood,3
Mary Burke,3
David Montgomery,3
Archibald Hawkins,3
Young Lady from Miss Beeley's School,3
Gilbert Douglas,3
Oswald Wentworth,3
a Sophomore,3
Charles W. Butler,3
Rev. Wilbur Watts,3
the college chaplain,3
Frank Wentworth,3
