John L. Peltret,3
Ollie Alger,3
Louis Evan Shipman,3
Edith Ellis,3
Edgar Selwyn,3
George Robinson,3
Mary Roberts Rinehart and Avery Hopwood,3
Percy Sage,3
Anatol Friedland,2
Robert T. Haines,2
Philip Bartholomae,2
Film Producer,2
Charles Lovenberg,2
Business Manager for Jesse L. Lasky,2
Master Mechanic for Jesse L. Lasky,2
Rupert Hughes,2
Ludwig Thoma,2
Rudolf Christians,2
Cecil de Mille,2
Herbert Hall Winslow,2
Mrs. Gardner Crane,2
Valerie Bergere  ,2
Costume Fabricator,2
William Collier,2
Jay G. Simms,2
Hamish McLaurin,2
Jimmie Barry,2
Grace Griswold,2
Archie Colby,2
John Stokes,2
Lawrence Grattan,2
Chas. Lovenberg,2
Francis Brady,2
Ad. Newberger,2
Richard Warner,2
Emmet Devoy,2
Frank Tours,2
Harry Tighe,2
Agent representing Mr. Weber,2
Anna Chandler and Al. Piantidosi,2
F. A. Crippen,2
Leo Edwards,2
Blanche Merrill and William Le Baron,2
Production Staged,2
Sohlke,2
Dialogue,2
Costume plates,2
George Nichols,2
B.A. Rolfe,2
General Manager for Cohan & Harris,2
Neil Kelly,2
V. Piazza,2
James Doyle,2
General Stage Director,2
Sam Forrest,2
Bert Feibleman,2
Al. White,2
B. F. Keith's New York Theatres Company,2
Florenz Wood,2
Anton Furst,2
Resident Manager,2
E. F. Albee,2
Elizabeth Jordan,2
Jessie Bonstelle,2
Copyright holder for singing rights,2
Frank Sheridan,2
Arthur Denvir,2
George W. Callahan,2
Mrs. Gene Hughes and Company,2
Valerie Bergere and Company,2
W. P. Wade,2
William Morris,2
Henry Berlinghoff,2
N. B. Spingold,2
George Whitefield Chadwick,2
Arthur S. Phinney,2
Advertising Agent,2
Holman Day,2
Managers,2
Music by,2
Agent for Mr. Weber,2
Agent for Mr. Fields,2
"Williams, Thompson and Copeland",2
T. B. McDonald,2
Lottie Blair Parker,2
Frank J. Clausman,2
Fire Commissioner,2
W. Howard,2
The Boy,2
Jos. M. Gaites,2
